# Start date (t3): 2016-02-01
# Target Entropy: 8192

# Draw Id                       m  n  draw
2016-02-11_nz_keno_1            20 80 6,9,16,22,23,25,26,30,33,36,45,49,52,54,58,63,67,69,71,77
2016-02-11_br_quina             5  80 44,15,74,18,55
2016-02-11_ca_daily_keno_midday 20 70 6,13,14,22,25,29,33,34,38,39,42,45,47,48,56,57,61,63,65,66
2016-02-11_it_super_enalotto    6  90 17,27,45,53,71,74
2016-02-11_nz_keno_2            20 80 4,5,8,11,12,16,18,28,30,31,36,42,44,46,49,53,56,61,68,73
2016-02-11_es_la_primitiva      6  49 2,12,18,34,37,46
2016-02-11_de_keno              20 70 1,2,4,12,13,17,20,23,25,26,30,32,44,46,51,52,54,63,64,70
2016-02-11_fr_keno_midday       20 70 8,9,12,15,16,24,26,31,34,42,45,47,48,54,55,59,63,65,68,70
2016-02-11_nz_keno_3            20 80 3,6,7,9,21,26,30,32,34,35,44,46,47,49,53,58,59,66,73,76
2016-02-11_ca_daily_keno_night  20 70 11,13,21,24,33,35,36,39,43,48,51,52,53,56,58,62,66,67,69,70
2016-02-11_es_bonoloto          6  49 4,5,10,15,35,47
2016-02-11_nz_keno_4            20 80 1,3,6,10,16,21,29,32,34,36,41,53,59,64,65,68,69,72,74,76
2016-02-11_au_powerball         6  40 1,8,21,30,22,33
2016-02-11_fr_keno_night        20 70 3,4,5,10,11,16,19,23,25,30,36,37,39,40,44,54,59,61,65,69
2016-02-11_uk_health_lottery    5  50 1,25,27,32,38
2016-02-11_us_ny_cash_4_life    5  60 6,31,35,40,55
2016-02-12_nz_keno_1            20 80 3,5,8,13,16,18,20,21,23,24,26,29,30,34,36,47,51,63,64,72
2016-02-12_de_euro_jackpot      5  50 7,20,21,33,41
2016-02-12_br_quina             5  80 5,27,31,35,53
2016-02-12_ca_daily_keno_midday 20 70 8,10,11,18,22,31,32,35,37,38,39,43,46,47,48,50,56,57,66,68
2016-02-12_nz_keno_2            20 80 4,9,13,22,23,25,27,28,30,37,38,40,44,52,54,63,69,70,79,80
2016-02-12_ca_loto_max          7  49 19,20,26,31,34,39,48
2016-02-12_de_keno              20 70 2,4,10,12,22,23,24,25,27,32,42,48,49,54,55,57,58,59,62,66
2016-02-12_br_lotofacil         15 25 1,2,6,7,8,9,11,13,15,16,17,18,21,24,25
2016-02-12_fr_keno_midday       20 70 7,11,23,24,25,30,32,37,42,43,46,47,49,51,52,56,57,58,63,70
2016-02-12_nz_keno_3            20 80 3,4,7,13,25,34,37,43,45,47,56,65,66,67,68,69,70,71,74,78
2016-02-12_eu_euromillions      5  50 31,49,28,20,3
2016-02-12_ca_daily_keno_night  20 70 8,10,19,20,21,22,27,28,33,36,41,43,44,47,48,50,56,62,64,69
2016-02-12_br_dupla_sena        6  50 11,22,25,29,33,49
2016-02-12_es_bonoloto          6  49 8,22,28,29,34,39
2016-02-12_us_mega_millions     5  75 1,7,44,68,73
2016-02-12_nz_keno_4            20 80 3,8,9,13,16,25,38,41,42,47,48,49,51,57,68,70,73,77,79,80
2016-02-12_fr_keno_night        20 70 1,2,7,8,9,17,20,25,28,30,31,32,45,48,49,51,56,57,61,69
2016-02-12_uk_health_lottery    5  50 7,28,32,44,49
2016-02-13_nz_keno_1            20 80 3,8,10,14,18,19,22,24,33,38,42,45,46,50,64,69,70,73,78,80
2016-02-13_us_hot_lotto         5  47 37,2,28,13,32
2016-02-13_fr_loto              5  49 38,30,27,41,10
2016-02-13_nz_lotto             6  40 3,7,8,9,17,35
2016-02-13_br_quina             5  80 19,28,46,50,58
2016-02-13_ca_daily_keno_midday 20 70 7,8,9,12,14,15,17,25,34,36,37,42,43,53,54,55,56,57,58,67
2016-02-13_it_super_enalotto    6  90 2,30,49,66,74,80
2016-02-13_nz_keno_2            20 80 1,3,20,22,23,24,28,30,31,36,38,44,58,62,63,67,70,73,76,78
2016-02-13_ch_loto              6  42 1,5,12,19,38,39
2016-02-13_es_la_primitiva      6  49 27,30,34,43,46,49
2016-02-13_de_keno              20 70 3,9,10,11,13,17,30,32,33,40,43,48,49,52,55,58,59,61,62,63
2016-02-13_us_wild_card         5  33 24,25,16,21,3
2016-02-13_fr_keno_midday       20 70 1,2,12,14,15,22,25,26,29,32,34,35,36,37,40,45,47,54,58,59
2016-02-13_be_lotto             6  45 6,17,21,32,34,44
2016-02-13_ca_lottario          6  45 20,21,22,23,30,35
2016-02-13_nz_keno_3            20 80 5,16,19,23,25,26,36,37,38,45,55,58,62,64,67,71,72,73,76,77
2016-02-13_us_powerball         5  69 7,15,36,18,19
2016-02-13_de_lotto             6  49 18,20,30,32,43,45
2016-02-13_ca_daily_keno_night  20 70 1,2,6,7,25,26,28,30,33,36,39,40,43,44,48,51,59,63,66,69
2016-02-13_es_bonoloto          6  49 3,5,7,10,17,48
2016-02-13_nz_keno_4            20 80 1,4,6,8,12,14,25,27,33,34,35,39,45,47,50,59,65,68,76,80
2016-02-13_mu_loto              6  40 6,21,25,30,33,35
2016-02-13_us_ny_lotto          6  59 5,11,15,33,39,40
2016-02-13_fr_keno_night        20 70 1,6,7,12,16,20,21,26,30,33,34,35,37,48,50,54,57,60,63,68
2016-02-13_au_saturday_lotto    6  45 2,43,27,25,28,8
2016-02-13_uk_health_lottery    5  50 4,18,33,34,38
2016-02-13_br_mega_sena         6  60 11,13,26,27,28,50
2016-02-13_nl_lotto             6  45 6,10,25,28,34,36
2016-02-13_ca_loto_649          6  49 2,9,25,27,31,42
2016-02-14_nz_keno_1            20 80 1,14,15,16,27,29,34,35,39,43,46,53,55,57,64,70,71,75,77,80
2016-02-14_ca_daily_keno_midday 20 70 4,6,7,9,20,37,38,42,44,47,50,52,53,58,59,62,65,67,69,70
2016-02-14_nz_keno_2            20 80 3,4,6,7,11,16,17,18,23,32,33,36,53,56,62,66,67,70,74,77
2016-02-14_de_keno              20 70 4,6,9,13,15,16,27,29,31,33,34,35,45,46,53,55,56,59,63,68
2016-02-14_fr_keno_midday       20 70 1,4,5,6,9,15,17,22,34,40,44,49,53,58,59,60,62,63,69,70
2016-02-14_nz_keno_3            20 80 2,10,12,15,17,23,26,29,31,35,42,47,50,56,62,65,67,71,74,80
2016-02-14_ca_daily_keno_night  20 70 4,6,8,9,13,16,23,29,32,34,37,42,43,46,51,52,56,58,67,68
2016-02-14_nz_keno_4            20 80 12,19,22,28,32,33,34,35,36,40,43,47,49,57,60,64,66,70,76,80
2016-02-14_es_el_gordo          5  54 12,21,22,25,39
2016-02-14_fr_keno_night        20 70 4,5,8,11,14,18,21,22,24,27,29,35,38,47,52,53,56,57,66,67
